Make/Model,Images,Make,Model,Year,Rating
Acura MDX,https://public.flourish.studio/uploads/2146307/0aae204f-b4a4-4fd5-bbc1-2d0078c5003c.svg,Acura,MDX,2019,8
Acura MDX (hybrid),https://public.flourish.studio/uploads/2146307/0aae204f-b4a4-4fd5-bbc1-2d0078c5003c.svg,Acura,MDX (hybrid),2019,7.7
Acura NSX,https://public.flourish.studio/uploads/2146307/0aae204f-b4a4-4fd5-bbc1-2d0078c5003c.svg,Acura,NSX,2019,7
Acura RDX,https://public.flourish.studio/uploads/2146307/0aae204f-b4a4-4fd5-bbc1-2d0078c5003c.svg,Acura,RDX,2019,7.9
Acura RLX hybrid,https://public.flourish.studio/uploads/2146307/0aae204f-b4a4-4fd5-bbc1-2d0078c5003c.svg,Acura,RLX hybrid,2019,7.3
Acura TLX,https://public.flourish.studio/uploads/2146307/0aae204f-b4a4-4fd5-bbc1-2d0078c5003c.svg,Acura,TLX,2019,7.5
Acura Integra,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,Acura,Integra,2019,
Acura MDX,https://public.flourish.studio/uploads/2146307/0aae204f-b4a4-4fd5-bbc1-2d0078c5003c.svg,Acura,MDX,2020,8
Acura MDX (hybrid),https://public.flourish.studio/uploads/2146307/0aae204f-b4a4-4fd5-bbc1-2d0078c5003c.svg,Acura,MDX (hybrid),2020,
Acura NSX,https://public.flourish.studio/uploads/2146307/0aae204f-b4a4-4fd5-bbc1-2d0078c5003c.svg,Acura,NSX,2020,6.9
Acura RDX,https://public.flourish.studio/uploads/2146307/0aae204f-b4a4-4fd5-bbc1-2d0078c5003c.svg,Acura,RDX,2020,7.9
Acura RLX hybrid,https://public.flourish.studio/uploads/2146307/0aae204f-b4a4-4fd5-bbc1-2d0078c5003c.svg,Acura,RLX hybrid,2020,6.6
Acura TLX,https://public.flourish.studio/uploads/2146307/0aae204f-b4a4-4fd5-bbc1-2d0078c5003c.svg,Acura,TLX,2020,7.5
Acura Integra,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,Acura,Integra,2020,
Acura MDX,https://public.flourish.studio/uploads/2146307/0aae204f-b4a4-4fd5-bbc1-2d0078c5003c.svg,Acura,MDX,2021,
Acura MDX (hybrid),https://public.flourish.studio/uploads/2146307/0aae204f-b4a4-4fd5-bbc1-2d0078c5003c.svg,Acura,MDX (hybrid),2021,
Acura NSX,https://public.flourish.studio/uploads/2146307/0aae204f-b4a4-4fd5-bbc1-2d0078c5003c.svg,Acura,NSX,2021,7.5
Acura RDX,https://public.flourish.studio/uploads/2146307/0aae204f-b4a4-4fd5-bbc1-2d0078c5003c.svg,Acura,RDX,2021,7.9
Acura RLX hybrid,https://public.flourish.studio/uploads/2146307/0aae204f-b4a4-4fd5-bbc1-2d0078c5003c.svg,Acura,RLX hybrid,2021,
Acura TLX,https://public.flourish.studio/uploads/2146307/0aae204f-b4a4-4fd5-bbc1-2d0078c5003c.svg,Acura,TLX,2021,7.6
Acura Integra,https://public.flourish.studio/uploads/2146307/7baf044c-d2e8-4313-a9e2-65a99e1e4fbf.svg,Acura,Integra,2021,
Acura MDX,https://public.flourish.studio/uploads/2146307/0aae204f-b4a4-4fd5-bbc1-2d0078c5003c.svg,Acura,MDX,2022,8
Acura MDX (hybrid),https://public.flourish.studio/uploads/2146307/0aae204f-b4a4-4fd5-bbc1-2d0078c5003c.svg,Acura,MDX (hybrid),2022,
Acura NSX,https://public.flourish.studio/uploads/2146307/0aae204f-b4a4-4fd5-bbc1-2d0078c5003c.svg,Acura,NSX,2022,
Acura RDX,https://public.flourish.studio/uploads/2146307/0aae204f-b4a4-4fd5-bbc1-2d0078c5003c.svg,Acura,RDX,2022,7..9
